"""Date"",""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"""Apr 18, 2017"",""143.36"",""147.34"",""147.40"",""140.00"",""19.67M"",""-2.64%"""
"""Apr 17, 2017"",""147.25"",""144.43"",""147.32"",""144.43"",""16.36M"",""3.03%"""
"""Apr 13, 2017"",""142.92"",""144.25"",""144.55"",""142.76"",""3.69M"",""-0.63%"""
"""Apr 12, 2017"",""143.83"",""144.85"",""145.74"",""143.55"",""4.39M"",""-0.36%"""
"""Apr 11, 2017"",""144.35"",""144.28"",""144.54"",""141.98"",""4.62M"",""0.35%"""
"""Apr 10, 2017"",""143.85"",""143.04"",""144.65"",""141.21"",""5.81M"",""0.52%"""
"""Apr 07, 2017"",""143.11"",""143.79"",""143.89"",""142.71"",""3.04M"",""-0.44%"""
"""Apr 06, 2017"",""143.74"",""144.00"",""144.14"",""143.01"",""3.31M"",""0.08%"""
"""Apr 05, 2017"",""143.62"",""146.19"",""146.25"",""143.26"",""4.61M"",""-1.29%"""
"""Apr 04, 2017"",""145.50"",""146.84"",""147.09"",""144.89"",""4.37M"",""-0.97%"""
"""Apr 03, 2017"",""146.92"",""146.70"",""148.00"",""145.74"",""4.61M"",""-0.60%"""
"""Mar 31, 2017"",""147.81"",""148.00"",""148.22"",""147.33"",""3.89M"",""-0.17%"""
"""Mar 30, 2017"",""148.06"",""146.81"",""148.29"",""146.53"",""4.46M"",""1.09%"""
